"","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","disc_number","duration_ms","track_number"
"1",2023,0.623,0.338,11,-18.253,1,0.105,0.00092,0.889,0.117,0.195,130.294,3,1,49066,1
"2",2023,0.562,0.542,6,-8.307,1,0.133,0.0797,0.822,0.0677,0.436,172.065,4,1,213546,2
"3",2023,0.763,0.61,10,-10.629,0,0.123,0.0485,0.738,0.138,0.405,175.891,4,1,212906,3
"4",2023,0.578,0.434,9,-10.254,1,0.239,0.168,0.908,0.144,0.595,104.519,3,1,231933,4
"5",2023,0.679,0.484,7,-10.274,1,0.0619,0.273,0.876,0.103,0.596,164.026,4,1,212466,5
"6",2023,0.733,0.463,10,-13.509,1,0.316,0.0331,0.811,0.0972,0.17,171.949,4,1,249826,6
"7",2023,0.824,0.432,9,-8.655,1,0.139,0.121,0.889,0.0835,0.265,152.037,4,1,253586,7
"8",2023,0.828,0.289,9,-9.733,1,0.212,0.594,0.867,0.213,0.358,140.012,4,1,250853,8
"9",2023,0.646,0.39,7,-14.022,0,0.0601,0.567,0.879,0.296,0.639,149.997,4,1,228000,9
"10",2023,0.742,0.604,3,-9.781,1,0.118,0.0117,0.663,0.157,0.467,82.978,4,1,318573,10
"11",2023,0.68,0.433,6,-10.685,1,0.0594,0.567,0.926,0.132,0.342,151.866,4,1,197800,11
"12",2023,0.619,0.441,2,-14.455,1,0.0295,0.466,0.912,0.109,0.378,96.017,3,1,158386,12
"13",2023,0.748,0.273,10,-8.14,0,0.458,0.0823,0.338,0.197,0.0822,172.027,4,1,234946,13
"14",2023,0.768,0.534,7,-7.929,1,0.038,0.758,0.888,0.114,0.746,170.008,4,1,232253,14
"15",2023,0.748,0.726,0,-13.627,1,0.0853,0.00147,0.865,0.0461,0.277,97.972,4,1,119906,15
"16",2023,0.612,0.772,1,-8.616,1,0.11,0.0734,0.754,0.0814,0.0765,176.856,4,1,145240,16
"17",2023,0.634,0.646,5,-12.009,1,0.0393,0.0175,0.771,0.361,0.266,129.304,5,1,248013,17
"18",2023,0.801,0.744,4,-12,0,0.0629,0.362,0.839,0.0434,0.35,101.988,4,1,292640,18
"19",2023,0.555,0.525,2,-15.095,1,0.17,0.229,0,0.366,0.86,129.71,3,1,49066,1
"20",2023,0.638,0.684,6,-6.746,1,0.463,0.0711,5.78e-05,0.118,0.771,172.142,4,1,214960,2
"21",2023,0.562,0.693,1,-8.342,1,0.36,0.0706,0,0.129,0.762,173.504,4,1,212906,3
"22",2023,0.725,0.662,9,-7.892,1,0.224,0.287,0,0.229,0.77,130.29,4,1,231933,4
"23",2023,0.594,0.622,5,-8.119,0,0.336,0.246,0.000569,0.104,0.791,80.976,4,1,212466,5
"24",2023,0.559,0.614,2,-10.219,1,0.546,0.168,0,0.0978,0.484,64.571,3,1,249826,6
"25",2023,0.722,0.568,11,-7.492,0,0.321,0.145,9.75e-05,0.0887,0.693,152.185,4,1,253586,7
"26",2023,0.721,0.539,9,-7.55,1,0.372,0.131,5.06e-06,0.151,0.776,139.731,4,1,250853,8
"27",2023,0.578,0.617,10,-9.914,1,0.364,0.465,0,0.284,0.746,76.9,4,1,228000,9
"28",2023,0.69,0.741,10,-8.066,0,0.324,0.116,0,0.326,0.879,82.84,4,1,318573,10
"29",2023,0.661,0.725,6,-7.967,1,0.343,0.229,2.33e-06,0.133,0.575,76.041,4,1,197800,11
"30",2023,0.694,0.576,0,-8.671,1,0.055,0.483,8.04e-06,0.11,0.309,95.965,4,1,158386,12
"31",2023,0.62,0.53,1,-6.221,1,0.328,0.0996,9.62e-06,0.226,0.302,172.385,4,1,234946,13
"32",2023,0.657,0.783,7,-6.258,1,0.359,0.422,1.11e-05,0.449,0.671,169.997,4,1,232253,14
"33",2023,0.73,0.683,10,-12.663,0,0.276,0.0751,0.000341,0.209,0.738,97.732,4,1,119906,15
"34",2023,0.607,0.713,1,-6.928,1,0.169,0.197,3.81e-06,0.113,0.473,76.188,1,1,145240,16
"35",2023,0.668,0.788,5,-9.005,1,0.195,0.176,0.00489,0.357,0.237,128.779,5,1,248013,17
"36",2023,0.899,0.775,4,-8.973,0,0.28,0.374,0.000124,0.0414,0.607,102,4,1,292640,18
"37",2023,0.465,0.54,9,-16.833,0,0.0431,0.158,0.883,0.159,0.156,101.582,1,1,45333,1
"38",2023,0.361,0.466,9,-10.604,0,0.0327,0.227,0.00601,0.102,0.282,85.959,4,1,204800,2
"39",2023,0.687,0.611,9,-9.036,1,0.0469,0.274,0.9,0.332,0.433,140.008,4,1,212866,3
"40",2023,0.547,0.807,4,-6.735,0,0.0375,0.0215,0.897,0.0717,0.521,152.043,4,1,272546,4
"41",2023,0.39,0.549,11,-8.615,1,0.0755,0.00344,0.884,0.126,0.446,169.816,4,1,245453,5
"42",2023,0.608,0.272,0,-12.288,1,0.0762,0.886,0.403,0.0917,0.672,97.593,3,1,126000,6
"43",2023,0.701,0.588,0,-7.69,1,0.0516,0.186,0.806,0.129,0.881,157.975,4,1,182800,7
"44",2023,0.609,0.586,1,-10.193,0,0.0375,0.00669,0.218,0.168,0.401,82.008,4,1,248200,8
"45",2023,0.748,0.626,1,-6.325,1,0.0709,0.0495,0.793,0.128,0.329,75.992,4,1,235333,9
"46",2023,0.586,0.435,0,-13.49,1,0.0408,0.413,0.81,0.147,0.494,92.064,4,1,173466,10
"47",2023,0.779,0.711,10,-7.936,0,0.0936,0.116,0.818,0.135,0.758,162.02,4,1,277906,11
"48",2023,0.794,0.573,10,-6.38,1,0.0742,0.13,0.896,0.195,0.505,82.997,4,1,271293,12
"49",2023,0.842,0.739,2,-9.592,0,0.328,0.575,0.934,0.132,0.524,160.011,4,1,249000,13
